year,month,temp,total-error-variance,high-frequency-error-variance,low-frequency-error-variance,bias-error-variance,diagnostic variable,diagnostic variable,diagnostic variable
1899,11,-0.267284,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1899,12,-0.591135,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1900,1,-0.622314,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1900,2,-0.513240,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1900,3,-0.388316,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1900,4,-0.374500,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1900,5,-0.384413,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1900,6,-0.390454,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1900,7,-0.407189,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1900,8,-0.355334,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1900,9,-0.331522,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1900,10,-0.214844,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1900,11,-0.350459,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1900,12,-0.380154,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1901,1,-0.437506,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1901,2,-0.424496,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1901,3,-0.330125,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1901,4,-0.336481,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1901,5,-0.417242,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1901,6,-0.398124,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1901,7,-0.385357,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1901,8,-0.431906,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1901,9,-0.468071,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1901,10,-0.540347,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1901,11,-0.490471,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1901,12,-0.699878,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1902,1,-0.487225,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1902,2,-0.386245,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1902,3,-0.625184,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1902,4,-0.611100,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1902,5,-0.600374,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1902,6,-0.576977,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1902,7,-0.534338,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1902,8,-0.519806,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1902,9,-0.504656,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1902,10,-0.541883,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1902,11,-0.588031,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1902,12,-0.590696,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1903,1,-0.472491,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1903,2,-0.372273,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1903,3,-0.529206,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1903,4,-0.638681,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1903,5,-0.662539,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1903,6,-0.622322,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1903,7,-0.615972,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1903,8,-0.688135,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1903,9,-0.699954,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1903,10,-0.742809,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1903,11,-0.739503,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1903,12,-0.783728,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1904,1,-0.802305,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1904,2,-0.875669,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1904,3,-0.896385,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1904,4,-0.802459,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1904,5,-0.783068,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1904,6,-0.719685,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1904,7,-0.740778,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1904,8,-0.701732,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1904,9,-0.773387,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1904,10,-0.613707,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1904,11,-0.532061,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1904,12,-0.665151,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1905,1,-0.582566,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1905,2,-0.789960,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
